StudentID,TeachingMethod,EnglishScore,MathScore,ChemistryScore,PhysicsScore,BiologyScore
1,Differentiated Instruction,85,88,90,87,89
2,Differentiated Instruction,87,90,92,89,91
3,Differentiated Instruction,89,85,88,86,88
4,Differentiated Instruction,84,87,85,88,87
5,Differentiated Instruction,88,89,90,90,89
6,Differentiated Instruction,90,92,91,91,92
7,Differentiated Instruction,85,86,87,85,86
8,Differentiated Instruction,87,88,89,87,88
9,Differentiated Instruction,88,85,86,88,87
10,Differentiated Instruction,86,87,88,86,89
11,Differentiated Instruction,89,88,90,89,90
12,Differentiated Instruction,87,89,91,87,88
13,Differentiated Instruction,85,90,92,90,91
14,Differentiated Instruction,88,87,89,86,87
15,Lecture-based Instruction,78,75,77,76,78
16,Lecture-based Instruction,76,77,79,75,77
17,Lecture-based Instruction,80,78,80,77,79
18,Lecture-based Instruction,77,76,78,76,78
19,Lecture-based Instruction,79,77,76,78,77
20,Lecture-based Instruction,75,79,77,75,76
21,Lecture-based Instruction,78,78,79,76,77
22,Lecture-based Instruction,80,75,78,77,78
23,Lecture-based Instruction,77,76,75,78,77
24,Lecture-based Instruction,79,78,76,75,78
25,Lecture-based Instruction,78,77,79,76,77
26,Lecture-based Instruction,76,78,77,75,78
27,Lecture-based Instruction,80,76,78,77,76
28,Lecture-based Instruction,77,75,79,76,78
29,Technology-based Learning,82,85,83,84,86
30,Technology-based Learning,84,87,85,83,85
31,Technology-based Learning,81,82,80,81,83
32,Technology-based Learning,83,86,84,85,84
33,Technology-based Learning,85,88,86,87,86
34,Technology-based Learning,86,89,87,88,87
35,Technology-based Learning,82,84,85,83,84
36,Technology-based Learning,83,85,84,86,83
37,Technology-based Learning,84,87,86,85,85
38,Technology-based Learning,85,88,87,87,86
39,Technology-based Learning,86,86,85,88,85
40,Technology-based Learning,82,87,84,85,86
41,Technology-based Learning,83,88,86,87,85
42,Technology-based Learning,84,89,87,88,86
43,Group Learning,90,88,87,89,90
44,Group Learning,92,90,89,91,92
45,Group Learning,91,89,88,90,91
46,Group Learning,89,87,86,88,89
47,Group Learning,88,86,87,89,88
48,Group Learning,90,89,88,87,90
49,Group Learning,92,91,90,89,92
50,Group Learning,89,90,91,88,90
51,Group Learning,91,87,88,89,91
52,Group Learning,88,86,87,90,88
53,Group Learning,90,89,88,89,87
54,Group Learning,92,90,91,87,89
55,Group Learning,89,91,90,88,88
56,Individual Learning,81,79,80,78,81
57,Individual Learning,83,81,82,80,83
58,Individual Learning,80,78,79,77,80
59,Individual Learning,82,80,81,79,82
60,Individual Learning,84,82,83,81,84
61,Individual Learning,81,79,80,78,81
62,Individual Learning,83,81,82,80,83
63,Individual Learning,80,78,79,77,80
64,Individual Learning,82,80,81,79,82
65,Individual Learning,84,82,83,81,84
66,Inquiry-based Learning,87,88,89,87,90
67,Inquiry-based Learning,89,90,91,89,92
68,Inquiry-based Learning,86,87,88,86,89
69,Inquiry-based Learning,88,89,90,88,91
70,Inquiry-based Learning,90,91,92,90,93
71,Inquiry-based Learning,87,88,89,87,90
72,Inquiry-based Learning,89,90,91,89,92
73,Inquiry-based Learning,86,87,88,86,89
74,Inquiry-based Learning,88,89,90,88,91
75,Inquiry-based Learning,90,91,92,90,93
76,Inquiry-based Learning,87,88,89,87,90
77,Kinesthetic Learning,79,81,80,78,81
78,Kinesthetic Learning,80,82,81,79,82
79,Kinesthetic Learning,82,84,83,81,84
80,Kinesthetic Learning,78,80,79,77,80
81,Kinesthetic Learning,81,83,82,80,83
82,Kinesthetic Learning,80,82,81,79,82
83,Kinesthetic Learning,82,84,83,81,84
84,Kinesthetic Learning,78,80,79,77,80
85,Kinesthetic Learning,81,83,82,80,83
86,Kinesthetic Learning,80,82,81,79,82
87,Kinesthetic Learning,82,84,83,81,84
88,Kinesthetic Learning,78,80,79,77,80
89,Kinesthetic Learning,81,83,82,80,83
90,Kinesthetic Learning,80,82,81,79,82
91,Kinesthetic Learning,82,84,83,81,84
92,Kinesthetic Learning,78,80,79,77,80
93,Kinesthetic Learning,81,83,82,80,83
94,Kinesthetic Learning,80,82,81,79,82
95,Kinesthetic Learning,82,84,83,81,84
96,Kinesthetic Learning,78,80,79,77,80
97,Kinesthetic Learning,81,83,82,80,83
98,Kinesthetic Learning,80,82,81,79,82
99,Kinesthetic Learning,82,84,83,81,84
100,Kinesthetic Learning,78,80,79,77,80
